,property Name,address,city,state,zip,neighborhood,link,walk,transit,bike,sound
97,The Current,15560 Westminster Way N,Shoreline,WA,98133,Shoreline,https://www.apartments.com/the-current-shoreline-wa/s6grkf5/,85,51,80,63
98,LUNA,2745 California Ave SW,Seattle,WA,98116,North Admiral,https://www.apartments.com/luna-seattle-wa/yey9vtr/,91,41,65,70
99,Kirin Apartments,417 2nd Ave W,Seattle,WA,98119,Lower Queen Anne,https://www.apartments.com/kirin-apartments-seattle-wa/v1vkvvd/,92,69,74,72
100,700 Broadway Apartments,700 Broadway Ave E,Seattle,WA,98102,Capitol Hill,https://www.apartments.com/700-broadway-apartments-seattle-wa/09hhwk1/,97,76,93,67
101,CC Apartments,701 16th Ave,Seattle,WA,98122,Minor,https://www.apartments.com/cc-apartments-seattle-wa/w438gvl/,85,73,87,71
102,St. James Tower,920 N 34th St,Seattle,WA,98103,Fremont,https://www.apartments.com/st-james-tower-seattle-wa/l0k2dve/,95,60,99,71
103,The Danforth,1425 Spring St,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/the-danforth-seattle-wa/v75401g/,99,91,80,65
104,West Edge,1430 2nd Ave,Seattle,WA,98101,Downtown Seattle,https://www.apartments.com/west-edge-seattle-wa/w36yefj/,99,100,60,60
105,Derby SLU,1210 Republican St,Seattle,WA,98109,South Lake Union,https://www.apartments.com/derby-slu-seattle-wa/xyy1rmn/,97,82,85,65
106,Excelsior,1535 Bellevue Ave,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/excelsior-seattle-wa/sd54b15/,99,100,66,61
107,Lucille on Roosevelt,6717 Roosevelt Way NE,Seattle,WA,98115,Roosevelt,https://www.apartments.com/lucille-on-roosevelt-seattle-wa/jrtty95/,96,69,94,62
108,Oslo,323 Bellevue Ave E,Seattle,WA,98102,Capitol Hill,https://www.apartments.com/oslo-seattle-wa/wsgwnnj/,96,83,76,64
109,Pratt Park Apartments,1800 S Jackson St,Seattle,WA,98144,Atlantic,https://www.apartments.com/pratt-park-apartments-seattle-wa/dflxsxk/,94,75,80,70
110,Encore at Columbia Station,4689 Martin Luther King Jr Way S,Seattle,WA,98108,Columbia City,https://www.apartments.com/encore-at-columbia-station-seattle-wa/yz4hdts/,87,65,75,68
111,Joseph Arnold Lofts,62 Cedar St,Seattle,WA,98121,Belltown,https://www.apartments.com/joseph-arnold-lofts-seattle-wa/q2slmlw/,96,93,80,67
112,REV Fremont,317 NW 41st St,Seattle,WA,98107,Fremont,https://www.apartments.com/rev-fremont-seattle-wa/p5tndjv/,89,64,86,71
113,Spruce,4555 39th Ave SW,Seattle,WA,98116,Genesee,https://www.apartments.com/spruce-seattle-wa/4004bel/,95,52,70,67
114,The Redwood,111 21st Ave E,Seattle,WA,98112,Stevens,https://www.apartments.com/the-redwood-seattle-wa/dfh6vqk/,90,66,96,72
115,Orenda,3939 S Othello St,Seattle,WA,98118,Holly Park,https://www.apartments.com/orenda-seattle-wa/sh8ebj5/,88,66,84,70
116,Highland Apartments,931 11th Ave E,Seattle,WA,98102,Capitol Hill,https://www.apartments.com/highland-apartments-seattle-wa/dbbv9xk/,86,70,84,72
117,Rollin Street Flats,120 Westlake Ave,Seattle,WA,98109,South Lake Union,https://www.apartments.com/rollin-street-flats-seattle-wa/hjg8c83/,99,99,79,63
118,Augusta Apartments,4041 Roosevelt Way NE,Seattle,WA,98105,University District,https://www.apartments.com/augusta-apartments-seattle-wa/lbgnpjg/,94,84,76,66
119,Angeline Apartments,4801 Rainier Ave S,Seattle,WA,98118,Columbia City,https://www.apartments.com/angeline-apartments-seattle-wa/66tvzer/,95,62,83,70
120,Marq 211,211 Lenora St,Seattle,WA,98121,Seattle,https://www.apartments.com/marq-211-seattle-wa/66mq35t/,99,100,67,64
121,Woodworth,1225 10th Ave,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/woodworth-seattle-wa/z877cxw/,100,87,93,69
122,Belmont Court Apartments,424 Belmont Ave E,Seattle,WA,98102,Capitol Hill,https://www.apartments.com/belmont-court-apartments-seattle-wa/2cb151c/,98,80,84,67
123,Gatsby Apartments,1145 10th Ave E,Seattle,WA,98102,Capitol Hill,https://www.apartments.com/gatsby-apartments-seattle-wa/03jn6d0/,83,68,92,68
124,MOD Apartments,6559 35th Ave NE,Seattle,WA,98115,Ravenna,https://www.apartments.com/mod-apartments-seattle-wa/5nl072q/,78,49,78,73
125,Halmark & Hamrick,702-705 2nd Ave W,Seattle,WA,98104,Lower Queen Anne,https://www.apartments.com/halmark-hamrick-seattle-wa/gjtej8x/,93,66,86,72
126,Chloe on Madison,1401-1409 E Madison St,Seattle,WA,98122,Minor,https://www.apartments.com/chloe-on-madison-seattle-wa/dzd7kkl/,99,78,84,68
127,Coppins Well,1000 Minor Ave,Seattle,WA,98104,First Hill,https://www.apartments.com/coppins-well-seattle-wa/fhknn4v/,99,97,86,65
128,Union Park,1310 Minor Ave,Seattle,WA,98101,First Hill,https://www.apartments.com/union-park-seattle-wa/8jpe6c0/,99,100,83,63
129,Guinevere Apartment Homes,522 N 85th St,Seattle,WA,98103,Ballard,https://www.apartments.com/guinevere-apartment-homes-seattle-wa/9zyy3f5/,89,52,91,70
130,Marq West Seattle,3261 SW Avalon Way,Seattle,WA,98126,North Delridge,https://www.apartments.com/marq-west-seattle-seattle-wa/rqnp6r1/,81,55,70,70
131,U Place,4609 Union Bay Pl NE,Seattle,WA,98105,University District,https://www.apartments.com/u-place-seattle-wa/6c04cst/,86,72,99,71
132,East Union,Union St @ 23rd ave,Seattle,WA,98122,Minor,https://www.apartments.com/east-union-seattle-wa/8sbxhc0/,93,63,98,69
133,Bowman,3801 Stone Way N,Seattle,WA,98103,Fremont,https://www.apartments.com/bowman-seattle-wa/3xvcwwe/,89,61,93,69
134,The Shelby,2201 4th Ave,Seattle,WA,98121,Belltown,https://www.apartments.com/the-shelby-seattle-wa/cd611cd/,99,100,81,62
135,Roosevelt Station,6810 Roosevelt Way NE,Seattle,WA,98115,Roosevelt,https://www.apartments.com/roosevelt-station-seattle-wa/kxfyl3b/,96,69,94,64
136,Nine and Pine Apartments,1601 9th Ave,Seattle,WA,98101,Denny Triangle,https://www.apartments.com/nine-and-pine-apartments-seattle-wa/ebf0nwn/,99,100,81,60
137,One Lakefront,1287 Westlake Ave N,Seattle,WA,98109,Westlake,https://www.apartments.com/one-lakefront-seattle-wa/7yvbetw/,77,70,86,70
138,M Street,910 8th Ave,Seattle,WA,98104,First Hill,https://www.apartments.com/m-street-seattle-wa/r2e3h72/,98,100,69,63
139,O2,2401 3rd Ave,Seattle,WA,98121,Belltown,https://www.apartments.com/o2-seattle-wa/ynmvz1v/,99,100,83,61
140,AVA Ballard,5555 14th Ave NW,Seattle,WA,98107,West Woodland,https://www.apartments.com/ava-ballard-seattle-wa/1en4zw7/,97,54,98,66
141,Lighthouse Apartments,7901 Delridge Way SW,Seattle,WA,98106,South Delridge,https://www.apartments.com/lighthouse-apartments-seattle-wa/x2d837m/,46,52,53,75
142,LEVA On Market,1545 NW Market St,Seattle,WA,98107,Ballard,https://www.apartments.com/leva-on-market-seattle-wa/qqn6e1z/,97,54,97,66
143,Oregon 42,4502 42nd Ave SW,Seattle,WA,98116,Junction,https://www.apartments.com/oregon-42-seattle-wa/lw6g5pg/,98,52,58,69
144,Chloe on Union,1408-1412 E Union St,Seattle,WA,98122,Minor,https://www.apartments.com/chloe-on-union-seattle-wa/dqwtp9k/,98,78,83,69
145,Three20,320 E Pine St,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/three20-seattle-wa/2czbqxc/,97,97,71,61
